id,chart_date,target_rank,actual_rank,title,artist,peak_rank,weeks_on_chart
1,7/11/1987,82,,,,,
2,8/4/1973,14,,,,,
3,7/3/1961,56,57,I Don't Mind,James Brown,47,8
4,8/7/1971,32,31,You've Got A Friend,"Roberta Flack,Donny Hathaway",29,12
5,7/10/1976,51,,,,,
6,8/2/1980,15,16,The Rose,Bette Midler,3,25
7,10/7/1972,37,,,,,
8,4/13/1963,67,,,,,
9,5/25/1991,48,,,,,
10,3/24/1984,49,51,An Innocent Man,Billy Joel,10,18
11,1/25/1960,97,,,,,
12,11/15/1980,65,63,Lookin' For Love,Johnny Lee,5,21
13,8/18/1973,14,,,,,
14,1/4/1969,56,,,,,
15,8/7/1976,21,21,Last Child,Aerosmith,21,15
16,7/28/1984,37,39,She Bop,Cyndi Lauper,3,18
17,2/28/1981,91,,,,,
18,1/31/1981,56,55,Kiss On My List,Daryl Hall & John Oates,1,23
19,10/9/1976,88,87,Here's Some Love,Tanya Tucker,82,5
20,3/6/1976,66,,,,,
21,8/2/1980,91,90,Just Can't Wait,The J. Geils Band,78,5
22,11/20/1971,18,19,Never My Love,The 5th Dimension,12,11
23,12/7/1985,88,87,And She Was,Talking Heads,54,20
24,8/26/1978,20,,,,,
25,7/17/1971,38,36,Chicago,Graham Nash,35,11
26,5/7/1966,88,86,Sweet Talkin' Guy,The Chiffons,10,10
27,7/7/1979,41,41,Rock 'N' Roll Fantasy,Bad Company,13,20
28,9/15/1962,94,,,,,
29,11/10/1973,44,46,The Joker,Steve Miller Band,1,20
30,12/5/1970,18,18,Indiana Wants Me,R. Dean Taylor,5,15
31,12/4/1971,93,,,,,
32,4/5/1975,15,,,,,
33,2/11/1978,99,100,Crazy On You,Heart,35,19
34,3/4/1978,30,29,If I Can't Have You,Yvonne Elliman,1,22
35,5/1/1971,67,65,Freedom,Jimi Hendrix,59,8
36,5/17/1969,61,,,,,
37,4/13/1968,67,65,Foggy Mountain Breakdown,Flatt & Scruggs,55,12
38,9/11/1971,73,,,,,
39,9/14/1974,17,17,It's Only Rock 'N Roll (But I Like It),The Rolling Stones,16,10
40,6/9/1990,30,28,The Power,Snap,2,22
41,11/6/1971,28,27,Absolutely Right,Five Man Electrical Band,26,8
42,9/21/1963,94,,,,,
43,2/25/1989,50,48,Two Hearts,Phil Collins,1,18
44,4/6/1985,25,24,Some Like It Hot,The Power Station,6,18
45,1/19/1974,93,,,,,
46,7/1/1972,12,12,I'll Take You There,The Staple Singers,1,15
47,1/16/1965,87,,,,,
48,4/26/1980,19,,,,,
49,8/8/1964,36,36,People,Barbra Streisand,5,19
50,7/11/1964,23,24,Love Me Do,The Beatles,1,14
51,3/8/1980,66,66,Carrie,Cliff Richard,34,11
52,1/2/1965,86,,,,,
53,6/30/1973,80,81,Over The Hills And Far Away,Led Zeppelin,51,8
54,9/5/1964,71,73,Last Kiss,J. Frank Wilson & The Cavaliers,2,20
55,3/7/1987,56,56,Smoking Gun,The Robert Cray Band,22,14
56,6/19/1965,72,74,I Love You So,Bobbi Martin,70,7
57,2/18/1984,81,,,,,
58,5/20/1972,87,,,,,
59,10/11/1969,33,33,Is That All There Is,Peggy Lee,11,10
60,3/7/1960,67,,,,,
61,11/16/1968,95,96,I Put A Spell On You,Creedence Clearwater Revival,58,9
62,9/28/1985,90,89,Hurts To Be In Love,Gino Vannelli,57,12
63,1/15/1972,68,,,,,
64,8/26/1967,54,53,Cry Softly Lonely One,Roy Orbison,52,6
65,4/11/1960,11,,,,,
66,6/18/1988,57,58,Do You Love Me,The Contours,3,34
67,6/16/1962,99,97,Bongo Stomp,Little Joey & The Flips,35,8
68,8/17/1985,98,99,Black Cars,Gino Vannelli,42,16
69,6/29/1959,20,,,,,
70,11/15/1969,12,12,Hot Fun In The Summertime,Sly & The Family Stone,2,16
71,9/30/1978,43,43,Paradise By The Dashboard Light,Meat Loaf,39,10
72,9/6/1969,5,5,Get Together,The Youngbloods,5,25
73,6/12/1976,49,49,Crazy On You,Heart,35,19
74,3/27/1965,14,12,Nowhere To Run,Martha & The Vandellas,8,11
75,1/29/1977,56,54,Drivin' Wheel,Foghat,34,10
76,10/13/1984,79,,,,,
77,8/19/1978,27,28,Reminiscing,Little River Band,3,20
78,12/24/1988,46,46,Dial My Heart,The Boys,13,19
79,7/29/1967,56,58,Cold Sweat - Part 1,James Brown,7,12
80,6/5/1961,38,,,,,
81,8/23/1986,69,69,You Can Call Me Al,Paul Simon,23,29
82,4/10/1961,65,,,,,
83,4/7/1984,33,34,Red Red Wine,UB40,1,40
84,12/15/1979,57,,,,,
85,8/22/1987,12,10,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,1,12
86,4/21/1973,22,21,Space Oddity,David Bowie,15,14
87,9/16/1972,68,,,,,
88,4/22/1967,57,57,Buy For Me The Rain,Nitty Gritty Dirt Band,45,7
89,8/15/1981,25,24,Fire And Ice,Pat Benatar,17,15
90,11/22/1975,86,,,,,
91,8/20/1983,41,42,TRUE,Spandau Ballet,4,18
92,11/6/1982,59,60,Shock The Monkey,Peter Gabriel,29,18
93,12/12/1987,67,,,,,
94,6/19/1971,83,85,Wild Horses,The Rolling Stones,28,8
95,12/4/1976,65,65,Drivin' Wheel,Foghat,34,10
96,10/24/1964,73,,,,,
97,8/10/1991,14,14,Motownphilly,Boyz II Men,3,24
98,11/7/1981,84,,,,,
99,1/31/1987,88,86,A Trick Of The Night,Bananarama,76,7
100,11/27/1971,11,11,Maggie May,Rod Stewart,1,17
101,3/8/1980,85,85,A Lesson In Leavin',Dottie West,73,5
102,9/26/1970,65,66,For The Good Times,Ray Price,11,24
103,2/16/1959,11,,,,,
104,6/18/1983,23,22,We Two,Little River Band,22,12
105,3/8/1980,60,62,The Spirit Of Radio,Rush,51,8
106,6/5/1971,18,18,If,Bread,4,12
107,10/26/1974,9,8,Sweet Home Alabama,Lynyrd Skynyrd,8,17
108,11/25/1967,21,,,,,
109,1/24/1970,83,83,Ma Belle Amie,The Tee Set,5,12
110,3/15/1980,72,,,,,
111,6/4/1966,33,32,Eight Miles High,The Byrds,14,9
112,1/27/1962,27,27,Letter Full Of Tears,Gladys Knight & The Pips,19,11
113,10/20/1984,76,,,,,
114,3/30/1968,60,60,Sunshine Of Your Love,Cream,5,26
115,12/29/1958,52,52,Sweet Little Rock And Roll,Chuck Berry,47,9
116,12/2/1972,48,48,Let It Rain,Eric Clapton,48,13
117,2/19/1966,41,,,,,
118,5/10/1969,77,,,,,
119,11/28/1970,61,61,Stand By Me,"David Ruffin,Jimmy Ruffin",61,7
120,9/28/1963,1,3,Be My Baby,The Ronettes,2,13
121,9/12/1970,67,,,,,
122,2/21/1987,75,74,Have You Ever Loved Somebody,Freddie Jackson,69,9
123,12/19/1960,64,64,Silent Night,Bing Crosby,54,2
124,12/23/1978,14,13,Promises,Eric Clapton,9,18
125,10/7/1972,76,,,,,
126,11/1/1975,28,29,Blue Eyes Crying In The Rain,Willie Nelson,21,18
127,8/25/1962,44,44,Stop The Wedding,Etta James,34,8
128,9/30/1972,32,33,Brandy (You're A Fine Girl),Looking Glass,1,16
129,5/24/1975,58,,,,,
130,6/24/1972,24,24,Tumbling Dice,The Rolling Stones,7,10
131,10/31/1981,76,75,I Wouldn't Have Missed It For The World,Ronnie Milsap,20,17
132,4/29/1978,72,,,,,
133,7/20/1963,24,24,Detroit City,Bobby Bare,16,12
